path,age,elderly
data\aligned_clean\80_0_0_20170111205531200.jpg.chip.jpg,80,1
data\non_elderly\12_1_0_20170109203424756.jpg.chip.jpg,12,0
data\non_elderly\47_0_0_20170116205559481.jpg.chip.jpg,47,0
data\aligned_clean\75_0_1_20170111205805911.jpg.chip.jpg,75,1
data\non_elderly\18_1_0_20170109213856511.jpg.chip.jpg,18,0
data\aligned_clean\88_1_1_20170110183118502.jpg.chip.jpg,88,1
data\non_elderly\26_1_3_20170104235148954.jpg.chip.jpg,26,0
data\non_elderly\53_0_0_20170111171747408.jpg.chip.jpg,53,0
data\non_elderly\12_0_0_20170110225330874.jpg.chip.jpg,12,0
data\non_elderly\23_1_3_20170104231800546.jpg.chip.jpg,23,0
data\aligned_clean\65_0_0_20170111210851993.jpg.chip.jpg,65,1
data\aligned_clean\85_1_0_20170110183522560.jpg.chip.jpg,85,1
data\non_elderly\9_1_2_20161219190524395.jpg.chip.jpg,9,0
data\aligned_clean\61_0_1_20170117194623461.jpg.chip.jpg,61,1
data\non_elderly\11_1_0_20170109203327397.jpg.chip.jpg,11,0
data\aligned_clean\96_1_0_20170110182433943.jpg.chip.jpg,96,1
data\non_elderly\55_0_0_20170120223706509.jpg.chip.jpg,55,0
data\non_elderly\34_0_0_20170119200810940.jpg.chip.jpg,34,0
data\aligned_clean\75_0_0_20170111204808623.jpg.chip.jpg,75,1
data\aligned_clean\62_0_1_20170117154841208.jpg.chip.jpg,62,1
data\aligned_clean\90_1_0_20170120225317689.jpg.chip.jpg,90,1
data\non_elderly\23_1_0_20170112234124928.jpg.chip.jpg,23,0
data\non_elderly\26_0_3_20170119183830982.jpg.chip.jpg,26,0
data\non_elderly\8_1_0_20170109203303253.jpg.chip.jpg,8,0
data\non_elderly\28_1_3_20170116162504864.jpg.chip.jpg,28,0
data\aligned_clean\72_0_2_20170111200724572.jpg.chip.jpg,72,1
data\aligned_clean\85_1_0_20170110182028892.jpg.chip.jpg,85,1
data\non_elderly\27_1_2_20170116163747003.jpg.chip.jpg,27,0
data\aligned_clean\63_0_1_20170111170153874.jpg.chip.jpg,63,1
data\non_elderly\15_1_0_20170109214058590.jpg.chip.jpg,15,0
data\non_elderly\53_0_0_20170104212139332.jpg.chip.jpg,53,0
data\aligned_clean\60_1_0_20170110141408280.jpg.chip.jpg,60,1
data\non_elderly\53_1_1_20170104184527846.jpg.chip.jpg,53,0
data\aligned_clean\84_1_4_20170105001517613.jpg.chip.jpg,84,1
data\non_elderly\56_1_0_20170120134758144.jpg.chip.jpg,56,0
data\non_elderly\9_0_0_20170110220237634.jpg.chip.jpg,9,0
data\non_elderly\42_1_0_20170120221629278.jpg.chip.jpg,42,0
data\non_elderly\6_0_0_20170110224301470.jpg.chip.jpg,6,0
data\non_elderly\33_1_0_20170103183912066.jpg.chip.jpg,33,0
data\non_elderly\35_0_1_20170116182401789.jpg.chip.jpg,35,0
data\non_elderly\23_0_1_20170114033536005.jpg.chip.jpg,23,0
data\aligned_clean\61_0_0_20170111171747571.jpg.chip.jpg,61,1
data\aligned_clean\100_1_2_20170112222336458.jpg.chip.jpg,100,1
data\non_elderly\55_1_2_20161219153926437.jpg.chip.jpg,55,0
data\non_elderly\36_0_0_20170105172613829.jpg.chip.jpg,36,0
data\aligned_clean\92_1_0_20170110183357210.jpg.chip.jpg,92,1
data\non_elderly\43_0_3_20170119164231565.jpg.chip.jpg,43,0
data\non_elderly\55_1_3_20170119200044963.jpg.chip.jpg,55,0
data\aligned_clean\70_0_3_20170117173325952.jpg.chip.jpg,70,1
data\non_elderly\34_0_1_20170117140814015.jpg.chip.jpg,34,0
data\non_elderly\49_0_0_20170104205813820.jpg.chip.jpg,49,0
data\aligned_clean\64_0_0_20170111204901624.jpg.chip.jpg,64,1
data\non_elderly\12_0_0_20170117165940524.jpg.chip.jpg,12,0
data\non_elderly\21_1_3_20170104231613281.jpg.chip.jpg,21,0
data\aligned_clean\85_0_0_20170111205830721.jpg.chip.jpg,85,1
data\aligned_clean\60_1_0_20170110154325940.jpg.chip.jpg,60,1
data\non_elderly\32_1_0_20170117091929838.jpg.chip.jpg,32,0
data\non_elderly\38_0_0_20170103183142330.jpg.chip.jpg,38,0
data\non_elderly\42_1_0_20170117154917959.jpg.chip.jpg,42,0
data\aligned_clean\99_0_0_20170117195137161.jpg.chip.jpg,99,1
data\non_elderly\22_1_2_20170116172557623.jpg.chip.jpg,22,0
data\aligned_clean\69_1_0_20170110175803672.jpg.chip.jpg,69,1
data\non_elderly\35_0_0_20170104172415386.jpg.chip.jpg,35,0
data\aligned_clean\62_0_0_20170111200703518.jpg.chip.jpg,62,1
data\aligned_clean\60_1_1_20170110120140583.jpg.chip.jpg,60,1
data\non_elderly\22_1_2_20170116162023656.jpg.chip.jpg,22,0
data\non_elderly\35_1_1_20170112211938516.jpg.chip.jpg,35,0
data\non_elderly\42_0_0_20170117154747738.jpg.chip.jpg,42,0
data\non_elderly\29_1_0_20170104023236006.jpg.chip.jpg,29,0
data\non_elderly\47_0_0_20170116214228124.jpg.chip.jpg,47,0
data\aligned_clean\85_0_1_20170111210314652.jpg.chip.jpg,85,1
data\aligned_clean\78_0_0_20170111204704023.jpg.chip.jpg,78,1
data\non_elderly\31_0_4_20170116214318093.jpg.chip.jpg,31,0
data\aligned_clean\72_1_0_20170110153738448.jpg.chip.jpg,72,1
data\non_elderly\57_0_0_20170105173713685.jpg.chip.jpg,57,0
data\non_elderly\1_0_3_20161219230035168.jpg.chip.jpg,1,0
data\aligned_clean\60_1_0_20170110140725969.jpg.chip.jpg,60,1
data\aligned_clean\69_0_1_20170113184901806.jpg.chip.jpg,69,1
data\non_elderly\48_0_0_20170104184236333.jpg.chip.jpg,48,0
data\non_elderly\32_1_1_20170116153011586.jpg.chip.jpg,32,0
data\aligned_clean\72_1_0_20170110182012800.jpg.chip.jpg,72,1
data\aligned_clean\82_1_2_20170110183005747.jpg.chip.jpg,82,1
data\non_elderly\20_1_3_20170119153750257.jpg.chip.jpg,20,0
data\non_elderly\54_0_0_20170113210318996.jpg.chip.jpg,54,0
data\non_elderly\10_0_0_20170110225442428.jpg.chip.jpg,10,0
data\non_elderly\4_0_2_20161220220440489.jpg.chip.jpg,4,0
data\non_elderly\6_1_1_20170114024747282.jpg.chip.jpg,6,0
data\aligned_clean\70_0_0_20170111210749134.jpg.chip.jpg,70,1
data\non_elderly\26_1_1_20170116223107516.jpg.chip.jpg,26,0
data\non_elderly\57_0_3_20170117172459410.jpg.chip.jpg,57,0
data\non_elderly\11_0_0_20170104012556563.jpg.chip.jpg,11,0
data\aligned_clean\88_1_0_20170110182132120.jpg.chip.jpg,88,1
data\aligned_clean\71_0_0_20170111210043449.jpg.chip.jpg,71,1
data\aligned_clean\82_0_2_20170111210508477.jpg.chip.jpg,82,1
data\non_elderly\44_1_0_20170105001250091.jpg.chip.jpg,44,0
data\aligned_clean\75_1_0_20170110140824258.jpg.chip.jpg,75,1
data\non_elderly\31_0_1_20170116160725854.jpg.chip.jpg,31,0
data\non_elderly\41_1_4_20170104204946628.jpg.chip.jpg,41,0
data\non_elderly\53_0_0_20170109002933938.jpg.chip.jpg,53,0
data\non_elderly\48_0_1_20170113183700797.jpg.chip.jpg,48,0
data\aligned_clean\72_1_0_20170110132145439.jpg.chip.jpg,72,1
data\aligned_clean\85_1_0_20170110183546496.jpg.chip.jpg,85,1
data\non_elderly\48_0_0_20170117133115061.jpg.chip.jpg,48,0
data\non_elderly\17_1_0_20170109213642438.jpg.chip.jpg,17,0
data\non_elderly\21_1_0_20170109213135260.jpg.chip.jpg,21,0
data\non_elderly\29_0_1_20170104220317630.jpg.chip.jpg,29,0
data\aligned_clean\89_0_0_20170111205835604.jpg.chip.jpg,89,1
data\non_elderly\5_0_2_20161219151837283.jpg.chip.jpg,5,0
data\aligned_clean\70_0_0_20170111221935159.jpg.chip.jpg,70,1
data\aligned_clean\80_1_0_20170110154556609.jpg.chip.jpg,80,1
data\non_elderly\25_1_0_20170117135211463.jpg.chip.jpg,25,0
data\non_elderly\28_1_2_20170116163016525.jpg.chip.jpg,28,0
data\non_elderly\16_1_0_20170109214535714.jpg.chip.jpg,16,0
data\non_elderly\13_0_0_20170110225447389.jpg.chip.jpg,13,0
data\non_elderly\36_0_1_20170113163308366.jpg.chip.jpg,36,0
data\non_elderly\30_0_3_20170119195759283.jpg.chip.jpg,30,0
data\non_elderly\4_1_4_20161221195434215.jpg.chip.jpg,4,0
data\non_elderly\52_0_3_20170119205717649.jpg.chip.jpg,52,0
data\aligned_clean\69_0_1_20170117194929098.jpg.chip.jpg,69,1
data\non_elderly\38_0_1_20170117022153861.jpg.chip.jpg,38,0
data\aligned_clean\103_0_2_20170112213001988.jpg.chip.jpg,103,1
data\non_elderly\49_1_3_20170109140923740.jpg.chip.jpg,49,0
data\non_elderly\40_0_0_20170113184131287.jpg.chip.jpg,40,0
data\non_elderly\24_0_2_20170104020102786.jpg.chip.jpg,24,0
data\non_elderly\59_0_0_20170104212933919.jpg.chip.jpg,59,0
data\non_elderly\7_0_4_20161221201748793.jpg.chip.jpg,7,0
data\non_elderly\32_1_2_20170104165057208.jpg.chip.jpg,32,0
data\non_elderly\13_0_0_20170104003724576.jpg.chip.jpg,13,0
data\non_elderly\37_1_3_20170119202513781.jpg.chip.jpg,37,0
data\aligned_clean\80_1_0_20170111210442298.jpg.chip.jpg,80,1
data\aligned_clean\72_1_0_20170110183814706.jpg.chip.jpg,72,1
data\aligned_clean\66_1_0_20170110160644001.jpg.chip.jpg,66,1
data\aligned_clean\66_0_2_20170111205753656.jpg.chip.jpg,66,1
data\non_elderly\2_0_2_20161219141211674.jpg.chip.jpg,2,0
data\aligned_clean\75_0_0_20170111201623183.jpg.chip.jpg,75,1
data\non_elderly\30_0_1_20170117202828582.jpg.chip.jpg,30,0
data\non_elderly\51_0_0_20170111171747319.jpg.chip.jpg,51,0
data\non_elderly\46_0_4_20170104183938014.jpg.chip.jpg,46,0
data\non_elderly\56_1_3_20170109141207996.jpg.chip.jpg,56,0
data\non_elderly\15_1_0_20170109214626752.jpg.chip.jpg,15,0
data\non_elderly\22_0_0_20170105161701210.jpg.chip.jpg,22,0
data\aligned_clean\60_0_0_20170111171747553.jpg.chip.jpg,60,1
data\non_elderly\21_1_4_20170103201905647.jpg.chip.jpg,21,0
data\non_elderly\50_0_3_20170119204709807.jpg.chip.jpg,50,0
data\aligned_clean\66_1_0_20170110132135290.jpg.chip.jpg,66,1
data\non_elderly\33_0_0_20170120221754125.jpg.chip.jpg,33,0
data\non_elderly\14_1_0_20170103163023120.jpg.chip.jpg,14,0
data\aligned_clean\93_1_2_20170110173119858.jpg.chip.jpg,93,1
data\non_elderly\43_1_0_20170108234555262.jpg.chip.jpg,43,0
data\aligned_clean\70_1_0_20170110180429816.jpg.chip.jpg,70,1
data\non_elderly\25_0_1_20170114032055563.jpg.chip.jpg,25,0
data\non_elderly\52_0_0_20170120222938778.jpg.chip.jpg,52,0
data\non_elderly\46_0_0_20170104210235844.jpg.chip.jpg,46,0
data\non_elderly\18_1_0_20170109213451167.jpg.chip.jpg,18,0
data\aligned_clean\65_0_1_20170113184830231.jpg.chip.jpg,65,1
data\non_elderly\35_1_0_20170105162358962.jpg.chip.jpg,35,0
data\non_elderly\42_0_3_20170104210357420.jpg.chip.jpg,42,0
data\non_elderly\6_0_1_20170113135520697.jpg.chip.jpg,6,0
data\aligned_clean\75_0_0_20170111204855557.jpg.chip.jpg,75,1
data\aligned_clean\84_0_1_20170117192953555.jpg.chip.jpg,84,1
data\non_elderly\51_0_0_20170111200007714.jpg.chip.jpg,51,0
data\aligned_clean\90_1_0_20170110183406830.jpg.chip.jpg,90,1
data\non_elderly\58_0_3_20170119211657945.jpg.chip.jpg,58,0
data\aligned_clean\79_1_0_20170120225812145.jpg.chip.jpg,79,1
data\non_elderly\45_0_1_20170113173025009.jpg.chip.jpg,45,0
data\non_elderly\7_1_2_20161219194239107.jpg.chip.jpg,7,0
data\aligned_clean\73_0_0_20170111221837125.jpg.chip.jpg,73,1
data\non_elderly\35_1_2_20170117092216605.jpg.chip.jpg,35,0
data\non_elderly\29_0_1_20170117104547721.jpg.chip.jpg,29,0
data\non_elderly\44_0_0_20170113184633535.jpg.chip.jpg,44,0
data\non_elderly\25_1_4_20170119164406148.jpg.chip.jpg,25,0
data\non_elderly\27_0_1_20170117013707230.jpg.chip.jpg,27,0
data\non_elderly\53_0_0_20170109012721891.jpg.chip.jpg,53,0
data\non_elderly\24_1_1_20170113011157712.jpg.chip.jpg,24,0
data\aligned_clean\73_0_0_20170105001507628.jpg.chip.jpg,73,1
data\non_elderly\37_0_3_20170119192309233.jpg.chip.jpg,37,0
data\non_elderly\23_1_3_20170119164557957.jpg.chip.jpg,23,0
data\non_elderly\9_0_0_20170110225407300.jpg.chip.jpg,9,0
data\aligned_clean\68_0_0_20170117171408597.jpg.chip.jpg,68,1
data\non_elderly\49_1_0_20170110125307207.jpg.chip.jpg,49,0
data\non_elderly\48_1_0_20170110152853674.jpg.chip.jpg,48,0
data\non_elderly\53_0_0_20170104211506941.jpg.chip.jpg,53,0
data\non_elderly\39_1_2_20170117154228051.jpg.chip.jpg,39,0
data\aligned_clean\80_0_2_20170112224358076.jpg.chip.jpg,80,1
data\aligned_clean\77_1_0_20170110183741484.jpg.chip.jpg,77,1
data\aligned_clean\60_0_0_20170120223345579.jpg.chip.jpg,60,1
data\non_elderly\59_0_0_20170104212718142.jpg.chip.jpg,59,0
data\aligned_clean\83_0_0_20170111211106903.jpg.chip.jpg,83,1
data\aligned_clean\75_0_0_20170111205635250.jpg.chip.jpg,75,1
data\aligned_clean\62_0_0_20170111204910736.jpg.chip.jpg,62,1
data\non_elderly\18_1_0_20170109213142404.jpg.chip.jpg,18,0
data\aligned_clean\82_1_1_20170110154342872.jpg.chip.jpg,82,1
data\non_elderly\45_0_0_20170119195905775.jpg.chip.jpg,45,0
data\aligned_clean\60_1_0_20170110143449132.jpg.chip.jpg,60,1
data\aligned_clean\68_0_1_20170111195820243.jpg.chip.jpg,68,1
data\non_elderly\27_0_1_20170114034625293.jpg.chip.jpg,27,0
data\aligned_clean\85_0_0_20170111210640890.jpg.chip.jpg,85,1
data\non_elderly\46_1_1_20170113184212578.jpg.chip.jpg,46,0
data\aligned_clean\61_1_0_20170110173800240.jpg.chip.jpg,61,1
data\aligned_clean\65_0_0_20170117204724913.jpg.chip.jpg,65,1
data\non_elderly\40_0_0_20170117171009947.jpg.chip.jpg,40,0
data\non_elderly\34_0_1_20170117182640204.jpg.chip.jpg,34,0
data\non_elderly\3_1_2_20161219151926867.jpg.chip.jpg,3,0
data\aligned_clean\75_1_0_20170110180500719.jpg.chip.jpg,75,1
data\non_elderly\21_1_0_20170105183522855.jpg.chip.jpg,21,0
data\non_elderly\48_0_3_20170119205336640.jpg.chip.jpg,48,0
data\non_elderly\53_1_0_20170110160643266.jpg.chip.jpg,53,0
data\aligned_clean\85_1_0_20170120225733929.jpg.chip.jpg,85,1
data\non_elderly\52_0_0_20170109132901912.jpg.chip.jpg,52,0
data\non_elderly\55_0_0_20170111205137423.jpg.chip.jpg,55,0
data\non_elderly\12_1_0_20170104013219930.jpg.chip.jpg,12,0
data\non_elderly\20_1_0_20170119153358328.jpg.chip.jpg,20,0
data\aligned_clean\72_1_0_20170110141531648.jpg.chip.jpg,72,1
data\non_elderly\48_0_3_20170119211330007.jpg.chip.jpg,48,0
data\non_elderly\11_1_4_20170103201747167.jpg.chip.jpg,11,0
data\non_elderly\5_1_2_20161219194330923.jpg.chip.jpg,5,0
data\aligned_clean\75_1_0_20170110154312939.jpg.chip.jpg,75,1
data\non_elderly\32_0_3_20170119181014212.jpg.chip.jpg,32,0
data\non_elderly\14_1_0_20170103201434935.jpg.chip.jpg,14,0
data\non_elderly\3_1_0_20170109193421750.jpg.chip.jpg,3,0
data\non_elderly\29_0_3_20170119153035762.jpg.chip.jpg,29,0
data\non_elderly\26_0_1_20170117200006115.jpg.chip.jpg,26,0
data\non_elderly\9_0_0_20170110220311291.jpg.chip.jpg,9,0
data\aligned_clean\60_1_0_20170110141610416.jpg.chip.jpg,60,1
data\non_elderly\17_1_0_20170109213621558.jpg.chip.jpg,17,0
data\aligned_clean\85_1_0_20170110184045236.jpg.chip.jpg,85,1
data\non_elderly\27_0_0_20170117013636316.jpg.chip.jpg,27,0
data\non_elderly\29_1_0_20170103181745425.jpg.chip.jpg,29,0
data\non_elderly\39_0_0_20170104181458853.jpg.chip.jpg,39,0
data\aligned_clean\60_1_0_20170110151441645.jpg.chip.jpg,60,1
data\non_elderly\7_1_0_20170109205100937.jpg.chip.jpg,7,0
data\non_elderly\43_0_0_20170117155101372.jpg.chip.jpg,43,0
data\non_elderly\56_0_0_20170117173638281.jpg.chip.jpg,56,0
data\aligned_clean\65_0_3_20170117191735066.jpg.chip.jpg,65,1
data\aligned_clean\63_0_0_20170111193827549.jpg.chip.jpg,63,1
data\non_elderly\13_1_4_20170103200733438.jpg.chip.jpg,13,0
data\aligned_clean\100_1_0_20170119212053665.jpg.chip.jpg,100,1
data\aligned_clean\70_1_3_20170119150943854.jpg.chip.jpg,70,1
data\aligned_clean\90_0_1_20170111223916765.jpg.chip.jpg,90,1
data\non_elderly\34_0_3_20170104220329854.jpg.chip.jpg,34,0
data\aligned_clean\60_1_0_20170110141545888.jpg.chip.jpg,60,1
data\aligned_clean\86_1_0_20170110180113129.jpg.chip.jpg,86,1
data\aligned_clean\65_1_1_20170112220241647.jpg.chip.jpg,65,1
data\non_elderly\8_1_0_20170109201724457.jpg.chip.jpg,8,0
data\aligned_clean\61_0_1_20170113174636459.jpg.chip.jpg,61,1
data\non_elderly\20_1_0_20170109212911927.jpg.chip.jpg,20,0
data\non_elderly\21_0_0_20170114025137038.jpg.chip.jpg,21,0
data\non_elderly\57_0_1_20170113161208579.jpg.chip.jpg,57,0
data\non_elderly\56_0_0_20170113185507062.jpg.chip.jpg,56,0
data\aligned_clean\76_0_0_20170111221823004.jpg.chip.jpg,76,1
data\non_elderly\23_1_2_20170116173241444.jpg.chip.jpg,23,0
data\aligned_clean\73_0_1_20170117195353786.jpg.chip.jpg,73,1
data\aligned_clean\85_1_3_20170110183103000.jpg.chip.jpg,85,1
data\aligned_clean\69_0_0_20170111203934092.jpg.chip.jpg,69,1
data\non_elderly\10_0_4_20170103200335831.jpg.chip.jpg,10,0
data\non_elderly\25_1_2_20170104020239939.jpg.chip.jpg,25,0
data\non_elderly\11_0_0_20170110225254975.jpg.chip.jpg,11,0
data\non_elderly\43_0_0_20170104181239741.jpg.chip.jpg,43,0
data\non_elderly\44_0_4_20170103235250676.jpg.chip.jpg,44,0
data\aligned_clean\60_0_0_20170111201620287.jpg.chip.jpg,60,1
data\non_elderly\49_1_4_20170104235649484.jpg.chip.jpg,49,0
data\non_elderly\37_1_0_20170103183019306.jpg.chip.jpg,37,0
data\non_elderly\22_1_2_20170116170405273.jpg.chip.jpg,22,0
data\non_elderly\22_1_0_20170103163108007.jpg.chip.jpg,22,0
data\aligned_clean\60_1_0_20170110141023577.jpg.chip.jpg,60,1
data\aligned_clean\60_1_0_20170110140829202.jpg.chip.jpg,60,1
data\aligned_clean\75_0_0_20170111204851535.jpg.chip.jpg,75,1
data\aligned_clean\75_0_1_20170111221655006.jpg.chip.jpg,75,1
data\non_elderly\37_0_3_20170119202229780.jpg.chip.jpg,37,0
data\non_elderly\47_0_1_20170117171504577.jpg.chip.jpg,47,0
data\non_elderly\57_1_0_20170117160411871.jpg.chip.jpg,57,0
data\non_elderly\37_0_0_20170104174218803.jpg.chip.jpg,37,0
data\non_elderly\28_1_2_20170104021815094.jpg.chip.jpg,28,0
data\aligned_clean\81_0_1_20170117193731174.jpg.chip.jpg,81,1
data\aligned_clean\60_1_0_20170110123131564.jpg.chip.jpg,60,1
data\non_elderly\54_0_2_20170117171429994.jpg.chip.jpg,54,0
data\aligned_clean\75_1_0_20170110182459565.jpg.chip.jpg,75,1
data\aligned_clean\66_0_1_20170117195116702.jpg.chip.jpg,66,1
data\non_elderly\55_0_0_20170117190804738.jpg.chip.jpg,55,0
data\non_elderly\34_0_1_20170117184804228.jpg.chip.jpg,34,0
data\aligned_clean\75_0_0_20170111210708463.jpg.chip.jpg,75,1
data\aligned_clean\75_1_1_20170105003534605.jpg.chip.jpg,75,1
data\aligned_clean\76_1_0_20170110181611591.jpg.chip.jpg,76,1
data\non_elderly\8_1_0_20170109204818624.jpg.chip.jpg,8,0
data\non_elderly\15_0_0_20170110232532949.jpg.chip.jpg,15,0
data\non_elderly\53_1_0_20170110122130739.jpg.chip.jpg,53,0
data\non_elderly\29_1_2_20170116161802325.jpg.chip.jpg,29,0
data\aligned_clean\78_0_0_20170120225240993.jpg.chip.jpg,78,1
data\non_elderly\18_1_0_20170105183423287.jpg.chip.jpg,18,0
data\aligned_clean\72_1_1_20170120225033578.jpg.chip.jpg,72,1
data\non_elderly\44_0_0_20170105173313757.jpg.chip.jpg,44,0
data\non_elderly\7_0_0_20170110225222391.jpg.chip.jpg,7,0
data\aligned_clean\89_1_0_20170120134913783.jpg.chip.jpg,89,1
data\non_elderly\54_1_2_20170116193018666.jpg.chip.jpg,54,0
data\non_elderly\29_1_0_20170117181004953.jpg.chip.jpg,29,0
data\aligned_clean\73_0_0_20170111221751463.jpg.chip.jpg,73,1
data\non_elderly\33_0_4_20170117201021349.jpg.chip.jpg,33,0
data\aligned_clean\70_1_0_20170110141008498.jpg.chip.jpg,70,1
data\non_elderly\55_1_3_20170119192720664.jpg.chip.jpg,55,0
data\non_elderly\46_0_0_20170104211749300.jpg.chip.jpg,46,0
data\non_elderly\17_1_0_20170105183400255.jpg.chip.jpg,17,0
data\aligned_clean\73_1_0_20170110140448378.jpg.chip.jpg,73,1
data\aligned_clean\62_0_1_20170117183848283.jpg.chip.jpg,62,1
data\non_elderly\15_1_0_20170109204203014.jpg.chip.jpg,15,0
data\aligned_clean\85_1_0_20170110175705728.jpg.chip.jpg,85,1
data\non_elderly\53_0_0_20170113184910088.jpg.chip.jpg,53,0
data\aligned_clean\73_0_1_20170117195318257.jpg.chip.jpg,73,1
data\non_elderly\58_0_0_20170111195225616.jpg.chip.jpg,58,0
data\non_elderly\24_0_0_20170116205634434.jpg.chip.jpg,24,0
data\non_elderly\53_0_3_20170119205827904.jpg.chip.jpg,53,0
data\non_elderly\31_1_1_20170117133156180.jpg.chip.jpg,31,0
data\aligned_clean\105_0_0_20170112213001988.jpg.chip.jpg,105,1
data\non_elderly\20_0_3_20170119152855024.jpg.chip.jpg,20,0
data\aligned_clean\85_1_1_20170110183033556.jpg.chip.jpg,85,1
data\aligned_clean\61_1_0_20170110181725541.jpg.chip.jpg,61,1
data\aligned_clean\82_0_0_20170111223748572.jpg.chip.jpg,82,1
data\aligned_clean\67_0_3_20170119212008184.jpg.chip.jpg,67,1
data\aligned_clean\62_0_1_20170113175129604.jpg.chip.jpg,62,1
data\aligned_clean\65_0_2_20170111205651706.jpg.chip.jpg,65,1
data\aligned_clean\76_1_0_20170110131747399.jpg.chip.jpg,76,1
data\aligned_clean\69_1_0_20170110131736764.jpg.chip.jpg,69,1
data\non_elderly\31_1_4_20170103230411344.jpg.chip.jpg,31,0
data\non_elderly\14_0_4_20170103205138666.jpg.chip.jpg,14,0
data\non_elderly\52_1_0_20170104212301653.jpg.chip.jpg,52,0
data\non_elderly\3_0_2_20161219141016496.jpg.chip.jpg,3,0
data\non_elderly\22_1_2_20170104021310052.jpg.chip.jpg,22,0
data\aligned_clean\73_1_0_20170109220906926.jpg.chip.jpg,73,1
data\non_elderly\23_1_0_20170104020712460.jpg.chip.jpg,23,0
data\aligned_clean\60_1_0_20170110143517260.jpg.chip.jpg,60,1
data\non_elderly\10_0_4_20170103201924664.jpg.chip.jpg,10,0
data\non_elderly\3_1_2_20161219160814805.jpg.chip.jpg,3,0
data\non_elderly\21_0_1_20170116215700416.jpg.chip.jpg,21,0
data\non_elderly\29_0_1_20170117095006160.jpg.chip.jpg,29,0
data\aligned_clean\78_0_0_20170120230506347.jpg.chip.jpg,78,1
data\non_elderly\14_1_4_20170103233153851.jpg.chip.jpg,14,0
data\non_elderly\32_1_4_20170117203127032.jpg.chip.jpg,32,0
data\aligned_clean\78_0_0_20170111223343146.jpg.chip.jpg,78,1
data\non_elderly\4_0_0_20170110213408453.jpg.chip.jpg,4,0
data\aligned_clean\90_0_0_20170111211415063.jpg.chip.jpg,90,1
data\non_elderly\19_1_0_20170103201450359.jpg.chip.jpg,19,0
data\non_elderly\57_1_1_20170109133029617.jpg.chip.jpg,57,0
data\non_elderly\55_0_0_20170120221851229.jpg.chip.jpg,55,0
data\non_elderly\44_0_3_20170119200334516.jpg.chip.jpg,44,0
data\aligned_clean\68_0_1_20170117170414776.jpg.chip.jpg,68,1
data\aligned_clean\78_0_0_20170111210454101.jpg.chip.jpg,78,1
data\aligned_clean\85_1_2_20170110183530796.jpg.chip.jpg,85,1
data\non_elderly\58_0_3_20170119195320690.jpg.chip.jpg,58,0
data\non_elderly\42_0_0_20170104205834299.jpg.chip.jpg,42,0
data\non_elderly\47_0_0_20170109012320435.jpg.chip.jpg,47,0
